PRISM Time Series Data
Location:  Lat: 47.4902   Lon: -121.8047   Elev: 469ft
"Climate variables: ppt,tmean,tdmean"
Spatial resolution: 4km
Period: 2008-01-01 - 2021-01-01
Dataset: AN91d
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: Off
Time series generated: 2024-Jul-11
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (inches),tmean (degrees F),tdmean (degrees F)
2008-03-16,0.29,40.9,37.6
2008-03-17,0.31,41.0,34.9
2008-03-18,0.13,45.2,38.2
2008-03-19,0.11,40.6,34.5
2008-03-20,0.15,42.7,35.3
2008-03-21,0.22,41.7,35.1
2008-03-22,0.01,40.1,32.6
2008-03-23,0.07,44.0,31.5
2008-03-24,0.76,40.6,35.8
2008-03-25,0.00,40.3,28.1
2008-03-26,0.24,38.2,33.9
2008-03-27,0.34,38.1,32.9
2008-03-28,0.08,36.7,31.2
2008-03-29,0.37,35.3,32.6
2008-03-30,0.52,36.3,33.4
2008-03-31,0.29,38.9,31.7
2008-04-01,0.19,39.0,30.6
2008-04-02,0.00,38.2,29.0
2008-04-03,0.00,40.5,29.9
2008-04-04,0.00,43.4,32.4
2008-04-05,0.44,40.2,36.8
2008-04-06,0.12,42.6,36.2
2008-04-07,0.48,43.6,38.2
2008-04-08,0.22,42.0,37.1
2008-04-09,0.32,39.1,35.7
2008-04-10,0.05,41.9,35.7
2008-04-11,0.11,42.8,37.5
2008-04-12,0.00,48.8,37.9
2008-04-13,0.00,58.7,42.2
2008-04-14,0.09,48.8,41.0
2008-04-15,0.40,40.5,35.1
2008-04-16,0.38,40.6,35.6
2008-04-17,0.00,45.8,38.8
2008-04-18,0.08,44.9,36.2
2008-04-19,0.25,38.4,31.5
2008-04-20,0.24,37.2,32.1
2008-04-21,0.19,38.2,32.0
2008-04-22,0.05,39.2,33.2
2008-04-23,0.11,45.0,36.3
2008-04-24,0.06,45.9,38.6
2008-04-25,0.08,45.0,35.0
2008-04-26,0.01,43.6,30.0
2008-04-27,0.00,53.6,34.0
2008-04-28,0.07,55.4,44.7
2008-04-29,0.64,49.1,43.3
2008-04-30,0.26,45.6,34.7
2008-05-01,0.22,44.3,34.4
2008-05-02,0.00,45.9,34.7
2008-05-03,0.00,51.8,39.7
2008-05-04,0.04,46.6,44.1
2008-05-05,0.00,53.5,44.5
2008-05-06,0.00,54.0,44.1
2008-05-07,0.05,48.9,43.1
2008-05-08,0.02,46.9,37.6
2008-05-09,0.00,45.9,35.2
2008-05-10,0.00,48.9,37.4
2008-05-11,0.23,51.2,42.8
2008-05-12,0.07,45.2,37.7
2008-05-13,0.01,47.8,38.8
2008-05-14,0.62,49.2,47.3
2008-05-15,0.22,54.2,53.1
2008-05-16,0.00,57.7,50.3
2008-05-17,0.00,65.6,50.6
2008-05-18,0.00,71.8,52.8
2008-05-19,0.00,63.6,51.2
2008-05-20,0.32,63.6,52.7
2008-05-21,0.53,51.2,45.6
2008-05-22,0.51,48.2,43.9
2008-05-23,0.08,48.1,44.1
2008-05-24,0.02,51.3,48.4
2008-05-25,0.05,63.0,49.7
2008-05-26,0.01,58.2,51.4
2008-05-27,0.10,59.2,51.1
2008-05-28,0.00,59.4,51.7
2008-05-29,0.04,54.1,49.5
2008-05-30,0.00,51.6,40.9
2008-05-31,0.00,52.0,42.8
2008-06-01,0.00,52.8,46.3
2008-06-02,0.01,50.8,43.3
2008-06-03,0.11,53.3,44.6
2008-06-04,0.64,51.6,47.3
2008-06-05,0.06,51.6,43.8
2008-06-06,0.32,48.8,45.7
2008-06-07,0.91,47.5,46.2
2008-06-08,0.07,49.5,44.1
2008-06-09,0.00,51.8,43.6
2008-06-10,0.90,50.2,44.2
2008-06-11,0.43,48.3,45.4
2008-06-12,0.03,48.9,45.0
2008-06-13,0.00,55.8,46.7
2008-06-14,0.00,53.9,46.2
2008-06-15,0.00,53.6,44.1
2008-06-16,0.00,56.0,44.4
2008-06-17,0.00,56.5,45.9
2008-06-18,0.00,52.4,44.7
2008-06-19,0.00,52.2,42.9
2008-06-20,0.00,57.8,47.5
2008-06-21,0.00,64.6,49.8
2008-06-22,0.03,64.2,50.1
2008-06-23,0.02,55.7,46.1
2008-06-24,0.00,55.4,43.7
2008-06-25,0.00,56.1,44.5
2008-06-26,0.00,58.0,46.3
2008-06-27,0.00,55.5,45.7
2008-06-28,0.00,63.3,50.4
2008-06-29,0.00,71.0,55.3
2008-06-30,0.02,75.0,57.6
2008-07-01,0.00,68.6,56.3
2008-07-02,0.00,63.9,53.8
2008-07-03,0.38,65.9,56.5
2008-07-04,0.07,64.4,58.7
2008-07-05,0.00,62.0,55.5
2008-07-06,0.31,63.0,56.2
2008-07-07,0.00,61.6,49.7
2008-07-08,0.00,61.3,49.7
2008-07-09,0.00,64.4,51.1
2008-07-10,0.00,64.9,49.9
2008-07-11,0.00,56.8,46.1
2008-07-12,0.00,62.7,44.2
2008-07-13,0.00,67.0,47.3
2008-07-14,0.00,66.9,50.3
2008-07-15,0.00,64.6,48.1
2008-07-16,0.00,66.2,47.3
2008-07-17,0.00,62.5,50.0
2008-07-18,0.00,61.3,50.6
2008-07-19,0.00,58.6,50.0
2008-07-20,0.00,60.6,50.1
2008-07-21,0.00,62.9,50.2
2008-07-22,0.00,64.3,51.7
2008-07-23,0.00,56.9,47.2
2008-07-24,0.00,55.5,47.4
2008-07-25,0.00,61.4,50.2
2008-07-26,0.00,62.4,50.1
2008-07-27,0.03,61.3,53.9
2008-07-28,0.01,59.2,52.0
2008-07-29,0.00,62.2,47.5
2008-07-30,0.35,58.0,51.8
2008-07-31,0.00,55.0,46.2
2008-08-01,0.41,59.0,50.3
2008-08-02,0.07,60.4,51.6
2008-08-03,0.00,55.3,49.1
2008-08-04,0.00,59.5,50.5
2008-08-05,0.00,65.6,52.9
2008-08-06,0.00,70.0,52.9
2008-08-07,0.00,68.7,54.4
2008-08-08,0.00,67.3,55.0
2008-08-09,0.00,63.0,54.8
2008-08-10,0.24,61.5,53.3
2008-08-11,0.00,60.8,52.1
2008-08-12,0.00,64.6,54.2
2008-08-13,0.00,64.6,55.6
2008-08-14,0.00,66.6,55.4
2008-08-15,0.00,70.9,57.4
2008-08-16,0.00,74.2,58.0
2008-08-17,0.03,74.9,59.5
2008-08-18,0.06,73.2,60.0
2008-08-19,0.07,61.8,58.1
2008-08-20,0.71,64.9,56.1
2008-08-21,0.79,60.0,55.8
2008-08-22,0.18,57.2,51.6
2008-08-23,0.00,62.3,51.0
2008-08-24,0.00,66.4,53.8
2008-08-25,0.34,62.5,56.4
2008-08-26,0.25,57.4,50.8
2008-08-27,0.53,57.9,49.0
2008-08-28,0.06,59.6,52.2
2008-08-29,0.04,59.9,57.7
2008-08-30,0.02,62.1,54.8
2008-08-31,0.01,53.9,45.2
2008-09-01,0.25,51.6,46.6
2008-09-02,0.00,52.4,47.1
2008-09-03,0.00,54.7,46.7
2008-09-04,0.00,56.0,48.9
2008-09-05,0.00,58.5,48.6
2008-09-06,0.00,58.9,52.3
2008-09-07,0.00,61.3,53.8
2008-09-08,0.00,60.4,50.7
2008-09-09,0.00,62.5,49.9
2008-09-10,0.00,58.4,49.1
2008-09-11,0.00,58.5,47.9
2008-09-12,0.00,61.7,49.4
2008-09-13,0.00,59.9,50.9
2008-09-14,0.00,59.2,49.3
2008-09-15,0.00,60.1,48.2
2008-09-16,0.00,64.2,47.6
2008-09-17,0.00,63.9,47.6
2008-09-18,0.00,62.6,51.7
2008-09-19,0.01,55.4,51.8
2008-09-20,0.08,55.6,52.4
2008-09-21,0.66,53.0,52.0
2008-09-22,0.23,54.2,50.4
2008-09-23,0.08,48.1,42.0
2008-09-24,0.00,50.6,41.6
2008-09-25,0.47,57.7,48.6
2008-09-26,0.23,54.0,51.5
2008-09-27,0.00,57.3,51.5
2008-09-28,0.00,54.9,49.0
2008-09-29,0.00,55.5,44.2
2008-09-30,0.00,61.3,43.7
2008-10-01,0.00,58.6,47.9
2008-10-02,0.00,60.1,52.3
2008-10-03,0.09,58.0,54.9
2008-10-04,0.31,56.7,54.8
2008-10-05,0.34,52.5,49.8
2008-10-06,0.05,52.0,47.2
2008-10-07,0.37,55.0,51.5
2008-10-08,0.03,51.4,43.4
2008-10-09,0.00,45.0,40.0
2008-10-10,0.03,43.3,39.1
2008-10-11,0.00,41.8,36.6
2008-10-12,0.00,42.8,35.8
2008-10-13,0.00,48.1,40.3
2008-10-14,0.80,53.0,48.9
2008-10-15,0.00,43.2,37.8
2008-10-16,0.29,42.6,40.1
2008-10-17,0.06,50.8,48.6
2008-10-18,0.32,56.1,50.5
2008-10-19,0.00,45.3,40.5
2008-10-20,0.04,44.2,40.5
2008-10-21,0.33,45.8,42.7
2008-10-22,0.00,44.2,39.2
2008-10-23,0.00,50.4,38.3
2008-10-24,0.02,42.7,38.4
2008-10-25,0.00,41.3,39.6
2008-10-26,0.00,45.2,39.6
2008-10-27,0.00,48.8,34.1
2008-10-28,0.00,50.3,36.9
2008-10-29,0.00,48.8,43.5
2008-10-30,0.00,49.4,44.1
2008-10-31,0.02,48.9,46.5
2008-11-01,0.40,52.6,50.7
2008-11-02,0.41,54.5,49.9
2008-11-03,0.81,50.4,46.9
2008-11-04,0.66,47.7,45.3
2008-11-05,0.26,42.1,39.4
2008-11-06,0.27,43.6,39.2
2008-11-07,2.75,49.1,49.1
2008-11-08,0.58,54.6,53.0
2008-11-09,0.13,53.3,48.9
2008-11-10,0.18,50.8,48.2
2008-11-11,0.14,49.4,43.9
2008-11-12,1.71,49.9,48.6
2008-11-13,3.07,53.0,50.9
2008-11-14,0.13,43.7,38.3
2008-11-15,0.00,45.0,39.9
2008-11-16,0.00,49.4,43.6
2008-11-17,0.00,49.1,44.2
2008-11-18,0.02,51.1,44.1
2008-11-19,0.05,43.7,42.1
2008-11-20,0.00,46.9,34.1
2008-11-21,0.45,44.2,40.3
2008-11-22,0.12,44.7,39.1
2008-11-23,0.04,41.0,38.7
2008-11-24,0.00,42.0,34.2
2008-11-25,0.00,42.8,34.8
2008-11-26,0.18,41.0,39.2
2008-11-27,0.00,39.4,32.0
2008-11-28,0.11,40.8,37.2
2008-11-29,0.32,46.3,45.3
2008-11-30,0.19,51.2,50.9
2008-12-01,0.02,52.4,50.7
2008-12-02,0.34,50.8,48.1
2008-12-03,0.19,46.7,45.0
2008-12-04,0.00,41.5,38.6
2008-12-05,0.00,40.6,33.2
2008-12-06,0.00,40.1,35.1
2008-12-07,0.13,42.1,38.6
2008-12-08,0.60,43.1,42.4
2008-12-09,0.07,41.2,39.0
2008-12-10,0.14,41.9,40.5
2008-12-11,0.16,43.4,43.2
2008-12-12,0.00,40.5,38.1
2008-12-13,1.31,39.5,36.3
2008-12-14,0.15,33.2,30.4
2008-12-15,0.03,24.2,15.2
2008-12-16,0.00,22.1,12.4
2008-12-17,0.16,22.2,16.3
2008-12-18,0.37,31.2,29.2
2008-12-19,0.30,23.4,22.0
2008-12-20,0.00,19.5,14.6
2008-12-21,0.42,18.1,16.5
2008-12-22,0.20,25.7,24.5
2008-12-23,0.00,28.8,26.0
2008-12-24,0.07,29.5,26.3
2008-12-25,0.64,31.4,30.2
2008-12-26,0.37,32.1,30.3
2008-12-27,0.61,33.7,32.6
2008-12-28,1.62,38.2,37.3
2008-12-29,0.25,38.2,36.1
2008-12-30,0.29,37.5,34.0
2008-12-31,0.22,37.3,33.2
2009-01-01,0.73,38.0,35.1
2009-01-02,0.80,38.6,37.0
2009-01-03,0.17,33.0,30.5
2009-01-04,0.01,34.1,29.5
2009-01-05,0.71,34.1,31.0
2009-01-06,0.84,40.6,40.1
2009-01-07,2.97,45.4,45.4
2009-01-08,3.87,48.2,48.2
2009-01-09,0.54,40.6,38.0
2009-01-10,0.00,37.7,33.4
2009-01-11,1.13,40.0,38.7
2009-01-12,0.16,43.8,43.8
2009-01-13,0.07,44.6,44.0
2009-01-14,0.00,41.3,39.1
2009-01-15,0.01,36.9,35.8
2009-01-16,0.00,36.4,34.7
2009-01-17,0.00,35.6,33.1
2009-01-18,0.00,37.8,31.6
2009-01-19,0.00,40.1,29.0
2009-01-20,0.00,39.5,28.9
2009-01-21,0.00,35.7,28.3
2009-01-22,0.00,32.2,29.5
2009-01-23,0.00,34.5,31.8
2009-01-24,0.01,33.6,29.3
2009-01-25,0.03,33.7,30.6
2009-01-26,0.01,27.1,25.5
2009-01-27,0.01,28.9,19.9
2009-01-28,0.22,34.9,34.0
2009-01-29,0.06,40.4,36.9
2009-01-30,0.00,38.3,35.3
2009-01-31,0.15,40.5,34.4
2009-02-01,0.00,37.6,31.0
2009-02-02,0.00,38.0,32.6
2009-02-03,0.00,41.8,31.6
2009-02-04,0.00,44.1,32.0
2009-02-05,0.00,46.2,31.7
2009-02-06,0.03,43.8,36.2
2009-02-07,0.09,38.8,38.0
2009-02-08,0.01,39.5,34.4
2009-02-09,0.08,39.7,33.0
2009-02-10,0.02,34.0,30.6
2009-02-11,0.08,32.9,30.5
2009-02-12,0.00,36.1,31.0
2009-02-13,0.00,36.4,27.9
2009-02-14,0.00,38.4,28.6
2009-02-15,0.00,38.8,30.4
2009-02-16,0.02,37.0,31.3
2009-02-17,0.00,41.0,33.4
2009-02-18,0.00,42.3,35.1
2009-02-19,0.00,43.0,34.6
2009-02-20,0.00,40.8,32.8
2009-02-21,0.00,41.5,32.5
2009-02-22,0.00,42.7,33.3
2009-02-23,0.04,49.5,41.2
2009-02-24,0.21,47.6,41.4
2009-02-25,0.73,44.4,41.1
2009-02-26,0.71,37.8,34.9
2009-02-27,0.02,33.2,27.9
2009-02-28,0.00,38.6,27.4
2009-03-01,0.02,41.3,32.7
2009-03-02,0.15,48.8,41.9
2009-03-03,0.17,48.1,39.7
2009-03-04,0.15,47.0,38.7
2009-03-05,0.22,43.3,38.7
2009-03-06,0.43,35.4,31.5
2009-03-07,0.01,35.6,25.2
2009-03-08,0.43,36.3,30.8
2009-03-09,0.12,34.5,30.3
2009-03-10,0.32,32.5,26.0
2009-03-11,0.00,31.6,20.0
2009-03-12,0.00,32.9,20.8
2009-03-13,0.00,37.1,24.5
2009-03-14,0.05,41.7,29.9
2009-03-15,0.74,40.5,36.6
2009-03-16,0.76,39.0,33.9
2009-03-17,0.82,39.4,35.4
2009-03-18,0.23,41.1,35.5
2009-03-19,0.03,45.1,38.3
2009-03-20,0.22,45.7,43.8
2009-03-21,0.38,43.1,39.0
2009-03-22,0.04,40.2,34.6
2009-03-23,0.06,41.2,35.8
2009-03-24,0.25,40.6,35.2
2009-03-25,1.04,42.6,39.4
2009-03-26,0.38,38.4,34.8
2009-03-27,0.00,41.6,33.9
2009-03-28,0.04,44.6,38.5
2009-03-29,0.64,36.9,35.0
2009-03-30,0.05,40.3,31.9
2009-03-31,0.32,40.7,36.4
2009-04-01,0.62,41.0,34.2
2009-04-02,0.88,39.1,38.1
2009-04-03,1.32,40.4,38.1
2009-04-04,0.03,39.6,32.3
2009-04-05,0.00,44.5,32.4
2009-04-06,0.00,51.7,33.7
2009-04-07,0.00,55.0,34.0
2009-04-08,0.00,53.1,38.8
2009-04-09,0.04,47.0,39.4
2009-04-10,0.03,49.0,42.3
2009-04-11,0.09,46.2,42.8
2009-04-12,0.24,46.8,42.5
2009-04-13,1.14,46.3,44.3
2009-04-14,0.82,40.1,36.8
2009-04-15,0.11,39.9,35.7
2009-04-16,0.00,43.7,36.5
2009-04-17,0.23,48.9,40.0
2009-04-18,0.22,47.7,39.1
2009-04-19,0.00,47.2,39.4
2009-04-20,0.00,53.5,42.3
2009-04-21,0.00,56.5,43.9
2009-04-22,0.01,57.4,44.9
2009-04-23,0.15,44.4,36.5
2009-04-24,0.03,43.4,35.0
2009-04-25,0.00,45.6,31.3
2009-04-26,0.00,43.7,35.8
2009-04-27,0.00,47.0,38.0
2009-04-28,0.24,48.9,39.6
2009-04-29,0.07,47.5,41.7
2009-04-30,0.00,46.7,39.0
2009-05-01,0.00,49.4,36.3
2009-05-02,0.00,54.7,33.4
2009-05-03,0.16,51.9,45.9
2009-05-04,0.02,50.3,40.8
2009-05-05,0.46,50.2,43.5
2009-05-06,0.35,49.9,43.6
2009-05-07,0.95,48.6,45.2
2009-05-08,0.07,48.3,40.9
2009-05-09,0.00,47.7,39.3
2009-05-10,0.00,50.9,42.0
2009-05-11,0.25,52.2,45.0
2009-05-12,0.36,51.3,43.4
2009-05-13,0.12,46.6,38.8
2009-05-14,0.81,46.0,41.3
2009-05-15,0.24,47.2,43.7
2009-05-16,0.00,52.3,42.8
2009-05-17,0.00,58.7,44.8
2009-05-18,0.00,60.8,48.9
2009-05-19,0.34,57.0,47.4
2009-05-20,0.56,48.8,43.2
2009-05-21,0.01,49.8,41.5
2009-05-22,0.00,51.8,42.3
2009-05-23,0.00,55.1,43.5
2009-05-24,0.00,55.5,45.0
2009-05-25,0.00,55.4,45.1
2009-05-26,0.00,55.6,46.4
2009-05-27,0.00,55.6,48.0
2009-05-28,0.00,55.5,42.2
2009-05-29,0.00,59.7,45.9
2009-05-30,0.00,64.8,48.7
2009-05-31,0.00,62.4,47.8
2009-06-01,0.00,62.7,47.7
2009-06-02,0.00,65.4,48.4
2009-06-03,0.00,68.7,46.7
2009-06-04,0.00,68.7,45.2
2009-06-05,0.00,69.6,50.9
2009-06-06,0.01,61.7,54.6
2009-06-07,0.03,57.0,52.1
2009-06-08,0.00,56.0,49.8
2009-06-09,0.00,59.5,49.2
2009-06-10,0.00,61.9,50.9
2009-06-11,0.01,62.7,52.8
2009-06-12,0.00,62.3,53.5
2009-06-13,0.00,62.5,54.2
2009-06-14,0.00,61.2,54.6
2009-06-15,0.00,58.2,52.6
2009-06-16,0.00,60.2,52.4
2009-06-17,0.00,60.7,52.6
2009-06-18,0.01,61.5,54.4
2009-06-19,0.12,63.0,52.7
2009-06-20,0.99,57.0,53.0
2009-06-21,0.00,53.2,46.0
2009-06-22,0.50,54.8,46.7
2009-06-23,0.01,54.3,46.8
2009-06-24,0.00,57.4,48.0
2009-06-25,0.04,63.7,51.7
2009-06-26,0.06,57.4,48.6
2009-06-27,0.00,55.7,44.3
2009-06-28,0.00,60.6,47.2
2009-06-29,0.00,56.0,44.2
2009-06-30,0.00,56.4,42.0
2009-07-01,0.00,57.4,43.3
2009-07-02,0.00,59.9,44.1
2009-07-03,0.00,64.6,48.4
2009-07-04,0.00,67.2,49.2
2009-07-05,0.00,67.5,51.3
2009-07-06,0.00,66.9,53.1
2009-07-07,0.01,59.2,50.6
2009-07-08,0.07,57.9,49.7
2009-07-09,0.00,57.3,51.1
2009-07-10,0.00,59.5,51.2
2009-07-11,0.00,63.9,51.5
2009-07-12,0.00,67.3,53.9
2009-07-13,0.10,58.9,54.4
2009-07-14,0.00,58.3,52.4
2009-07-15,0.00,59.2,51.5
2009-07-16,0.00,63.3,52.8
2009-07-17,0.00,67.8,53.9
2009-07-18,0.00,70.7,54.9
2009-07-19,0.00,66.9,53.6
2009-07-20,0.00,62.7,50.4
2009-07-21,0.00,64.8,53.2
2009-07-22,0.00,69.7,54.7
2009-07-23,0.00,65.6,55.2
2009-07-24,0.00,60.1,54.3
2009-07-25,0.00,65.7,56.4
2009-07-26,0.00,70.7,59.5
2009-07-27,0.00,73.4,61.7
2009-07-28,0.00,76.9,63.4
2009-07-29,0.00,79.5,64.2
2009-07-30,0.00,83.4,60.9
2009-07-31,0.00,78.3,59.3
2009-08-01,0.00,73.2,58.8
2009-08-02,0.00,73.2,57.4
2009-08-03,0.00,74.0,56.8
2009-08-04,0.00,69.5,53.0
2009-08-05,0.00,64.3,52.6
2009-08-06,0.00,58.5,51.6
2009-08-07,0.00,60.8,51.7
2009-08-08,0.00,59.0,52.7
2009-08-09,0.00,60.7,54.5
2009-08-10,0.00,64.9,55.4
2009-08-11,0.41,63.0,56.4
2009-08-12,0.41,62.8,57.3
2009-08-13,0.20,63.4,56.2
2009-08-14,0.28,58.5,52.9
2009-08-15,0.05,57.4,52.3
2009-08-16,0.00,58.7,51.3
2009-08-17,0.00,62.7,52.6
2009-08-18,0.00,66.6,54.8
2009-08-19,0.00,69.5,56.2
2009-08-20,0.00,72.8,59.4
2009-08-21,0.00,72.0,57.6
2009-08-22,0.01,62.8,55.3
2009-08-23,0.00,63.2,49.3
2009-08-24,0.00,58.9,48.3
2009-08-25,0.00,61.0,48.7
2009-08-26,0.00,59.6,50.3
2009-08-27,0.00,62.8,46.0
2009-08-28,0.00,68.7,46.5
2009-08-29,0.04,67.7,49.9
2009-08-30,0.02,63.4,57.4
2009-08-31,0.00,65.8,56.8
2009-09-01,0.00,62.1,56.6
2009-09-02,0.01,59.7,55.8
2009-09-03,0.09,65.8,54.3
2009-09-04,0.05,61.1,52.1
2009-09-05,0.27,64.7,53.1
2009-09-06,0.47,58.9,54.7
2009-09-07,1.06,56.7,51.7
2009-09-08,0.20,55.8,51.5
2009-09-09,0.00,58.9,49.8
2009-09-10,0.00,63.8,54.6
2009-09-11,0.00,63.8,53.7
2009-09-12,0.00,70.4,51.4
2009-09-13,0.00,69.5,53.8
2009-09-14,0.00,68.0,55.7
2009-09-15,0.00,62.2,54.4
2009-09-16,0.00,67.0,54.5
2009-09-17,0.08,63.7,55.8
2009-09-18,0.00,61.4,51.7
2009-09-19,0.14,66.2,49.8
2009-09-20,0.53,57.8,51.3
2009-09-21,0.00,56.4,46.6
2009-09-22,0.00,60.6,45.3
2009-09-23,0.00,70.4,45.6
2009-09-24,0.00,67.7,50.2
2009-09-25,0.00,56.8,50.3
2009-09-26,0.00,58.5,48.1
2009-09-27,0.00,55.7,46.7
2009-09-28,0.00,54.0,38.7
2009-09-29,0.09,53.6,43.3
2009-09-30,0.45,49.9,41.9
2009-10-01,0.01,50.5,42.5
2009-10-02,0.33,53.9,49.0
2009-10-03,0.08,47.8,43.3
2009-10-04,0.00,46.6,39.8
2009-10-05,0.00,50.9,36.4
2009-10-06,0.00,50.1,38.6
2009-10-07,0.00,51.5,40.6
2009-10-08,0.00,50.4,43.6
2009-10-09,0.00,50.8,43.4
2009-10-10,0.00,52.7,37.9
2009-10-11,0.00,44.8,28.3
2009-10-12,0.00,44.9,23.5
2009-10-13,0.00,41.7,24.7
2009-10-14,0.24,50.2,36.8
2009-10-15,0.70,52.5,48.4
2009-10-16,0.04,53.1,50.4
2009-10-17,0.81,57.6,55.2
2009-10-18,0.90,57.6,54.8
2009-10-19,0.02,55.2,50.8
2009-10-20,0.00,49.3,47.5
2009-10-21,0.03,50.7,47.7
2009-10-22,0.24,52.8,49.7
2009-10-23,0.46,49.6,47.2
2009-10-24,1.13,51.2,47.4
2009-10-25,0.01,45.8,39.9
2009-10-26,0.93,44.6,42.0
2009-10-27,1.82,46.4,42.6
2009-10-28,0.04,43.6,37.7
2009-10-29,0.19,42.7,39.1
2009-10-30,0.48,48.1,46.7
2009-10-31,0.57,56.0,52.2
2009-11-01,0.25,49.1,44.5
2009-11-02,0.00,45.8,39.0
2009-11-03,0.08,46.8,39.7
2009-11-04,0.00,46.4,39.3
2009-11-05,0.00,49.0,40.8
2009-11-06,0.99,52.1,45.4
2009-11-07,1.51,46.2,41.8
2009-11-08,0.86,42.8,40.5
2009-11-09,0.10,44.6,40.6
2009-11-10,0.48,46.6,42.1
2009-11-11,0.60,44.6,40.8
2009-11-12,0.01,42.8,37.9
2009-11-13,0.14,40.8,35.9
2009-11-14,0.37,38.4,34.5
2009-11-15,0.18,37.3,33.7
2009-11-16,0.60,46.3,42.4
2009-11-17,1.67,50.5,46.4
2009-11-18,0.79,42.3,38.7
2009-11-19,0.54,41.8,36.5
2009-11-20,0.51,47.1,43.5
2009-11-21,0.25,44.0,40.1
2009-11-22,0.48,41.8,37.1
2009-11-23,0.61,42.1,38.8
2009-11-24,0.59,44.8,40.4
2009-11-25,0.20,46.3,45.6
2009-11-26,0.35,47.6,46.0
2009-11-27,0.67,45.6,44.7
2009-11-28,0.03,41.0,36.9
2009-11-29,0.09,43.2,41.5
2009-11-30,0.02,46.0,44.7
2009-12-01,0.23,42.7,41.8
2009-12-02,0.00,37.6,34.3
2009-12-03,0.00,35.4,26.8
2009-12-04,0.00,34.1,27.6
2009-12-05,0.00,31.1,29.5
2009-12-06,0.00,31.9,26.1
2009-12-07,0.00,27.7,9.9
2009-12-08,0.00,22.0,1.9
2009-12-09,0.00,21.0,6.2
2009-12-10,0.00,21.2,10.6
2009-12-11,0.00,23.2,13.9
2009-12-12,0.00,24.4,17.9
